player_name,player_steamid,event_name,site,tick,match_id
Siraissi,76561198178993731,bomb_beginplant,519,8895,c3ddd683
Siraissi,76561198178993731,bomb_beginplant,519,8971,c3ddd683
MonsTro,76561198340888446,bomb_beginplant,102,21185,c3ddd683
Connan,76561198026214582,bomb_beginplant,102,34599,c3ddd683
Connan,76561198026214582,bomb_beginplant,519,43474,c3ddd683
Connan,76561198026214582,bomb_beginplant,519,67646,c3ddd683
Connan,76561198026214582,bomb_beginplant,102,74661,c3ddd683
Connan,76561198026214582,bomb_beginplant,102,74885,c3ddd683
Connan,76561198026214582,bomb_beginplant,102,81075,c3ddd683
Connan,76561198026214582,bomb_beginplant,102,117209,c3ddd683
Talevor,76561198124241179,bomb_beginplant,102,123721,c3ddd683
【﻿ＰＫ】,76561197996437459,bomb_beginplant,102,128249,c3ddd683
Talevor,76561198124241179,bomb_beginplant,519,137279,c3ddd683
Talevor,76561198124241179,bomb_beginplant,519,142657,c3ddd683
Talevor,76561198124241179,bomb_beginplant,102,148542,c3ddd683
Luiz,76561198100001022,bomb_beginplant,102,169277,c3ddd683
rodrigaoobrabo,76561198421514418,bomb_beginplant,519,181946,c3ddd683
