player_name,player_steamid,event_name,entindex,tick,match_id
AVARA KÉRABA,76561198397576589,bomb_dropped,689,4159,c3ddd683
MonsTro,76561198340888446,bomb_dropped,689,4523,c3ddd683
Cujura,76561198051880621,bomb_dropped,702,15861,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_dropped,702,15955,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_dropped,702,16981,c3ddd683
Cujura,76561198051880621,bomb_dropped,702,17565,c3ddd683
Siraissi,76561198178993731,bomb_dropped,702,18487,c3ddd683
Siraissi,76561198178993731,bomb_dropped,684,23352,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_dropped,684,24542,c3ddd683
MonsTro,76561198340888446,bomb_dropped,684,24818,c3ddd683
MonsTro,76561198340888446,bomb_dropped,695,28661,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_dropped,693,46006,c3ddd683
Cujura,76561198051880621,bomb_dropped,693,46698,c3ddd683
MonsTro,76561198340888446,bomb_dropped,693,47242,c3ddd683
Cujura,76561198051880621,bomb_dropped,693,47462,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_dropped,693,47894,c3ddd683
Connan,76561198026214582,bomb_dropped,693,49272,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_dropped,693,51072,c3ddd683
Connan,76561198026214582,bomb_dropped,693,53296,c3ddd683
Cujura,76561198051880621,bomb_dropped,689,57721,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_dropped,689,58623,c3ddd683
Siraissi,76561198178993731,bomb_dropped,707,61380,c3ddd683
MonsTro,76561198340888446,bomb_dropped,707,61712,c3ddd683
Cujura,76561198051880621,bomb_dropped,707,62572,c3ddd683
MonsTro,76561198340888446,bomb_dropped,674,70277,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_dropped,704,82630,c3ddd683
Cujura,76561198051880621,bomb_dropped,704,84978,c3ddd683
MonsTro,76561198340888446,bomb_dropped,704,87884,c3ddd683
MonsTro,76561198340888446,bomb_dropped,704,90508,c3ddd683
Cujura,76561198051880621,bomb_dropped,686,93351,c3ddd683
Cujura,76561198051880621,bomb_dropped,686,93559,c3ddd683
AVARA KÉRABA,76561198397576589,bomb_dropped,686,98045,c3ddd683
Connan,76561198026214582,bomb_dropped,686,100587,c3ddd683
Siraissi,76561198178993731,bomb_dropped,692,100792,c3ddd683
Siraissi,76561198178993731,bomb_dropped,692,102388,c3ddd683
MonsTro,76561198340888446,bomb_dropped,692,102582,c3ddd683
Cujura,76561198051880621,bomb_dropped,692,105850,c3ddd683
MonsTro,76561198340888446,bomb_dropped,685,107583,c3ddd683
Siraissi,76561198178993731,bomb_dropped,685,110357,c3ddd683
Talevor,76561198124241179,bomb_dropped,704,119237,c3ddd683
Talevor,76561198124241179,bomb_dropped,704,123725,c3ddd683
Luiz,76561198100001022,bomb_dropped,693,132739,c3ddd683
rodrigaoobrabo,76561198421514418,bomb_dropped,693,136293,c3ddd683
Erick,76561198000238678,bomb_dropped,689,139259,c3ddd683
Talevor,76561198124241179,bomb_dropped,689,140545,c3ddd683
rodrigaoobrabo,76561198421514418,bomb_dropped,696,143154,c3ddd683
【﻿ＰＫ】,76561197996437459,bomb_dropped,696,143784,c3ddd683
Erick,76561198000238678,bomb_dropped,696,144068,c3ddd683
rodrigaoobrabo,76561198421514418,bomb_dropped,696,144176,c3ddd683
Talevor,76561198124241179,bomb_dropped,696,144316,c3ddd683
【﻿ＰＫ】,76561197996437459,bomb_dropped,696,144792,c3ddd683
【﻿ＰＫ】,76561197996437459,bomb_dropped,696,145196,c3ddd683
Luiz,76561198100001022,bomb_dropped,696,148076,c3ddd683
Talevor,76561198124241179,bomb_dropped,696,148818,c3ddd683
Talevor,76561198124241179,bomb_dropped,690,150821,c3ddd683
Talevor,76561198124241179,bomb_dropped,690,151229,c3ddd683
【﻿ＰＫ】,76561197996437459,bomb_dropped,690,151363,c3ddd683
Talevor,76561198124241179,bomb_dropped,690,157055,c3ddd683
【﻿ＰＫ】,76561197996437459,bomb_dropped,683,164919,c3ddd683
Erick,76561198000238678,bomb_dropped,687,173055,c3ddd683
rodrigaoobrabo,76561198421514418,bomb_dropped,687,173129,c3ddd683
【﻿ＰＫ】,76561197996437459,bomb_dropped,687,175877,c3ddd683
Talevor,76561198124241179,bomb_dropped,687,178761,c3ddd683
Talevor,76561198124241179,bomb_dropped,695,185461,c3ddd683
【﻿ＰＫ】,76561197996437459,bomb_dropped,695,187601,c3ddd683
