funfact_data3,event_name,show_timer_defend,funfact_data1,final_event,round,funfact_token,tick,funfact_player,show_timer_attack,timer_time,funfact_data2
0,cs_win_panel_round,False,2,1,0,#funfact_kills_headshots,11795,8,True,102,0
0,cs_win_panel_round,False,2,9,0,#funfact_won_as_last_member,22341,13,True,107,0
0,cs_win_panel_round,False,1,9,0,#funfact_kills_with_last_round_singular,27882,5,True,59,0
0,cs_win_panel_round,False,5950,9,0,#funfact_money_spent,35741,11,True,95,0
0,cs_win_panel_round,True,60,7,0,#funfact_killed_half_of_enemies,45274,5,False,115,0
0,cs_win_panel_round,False,2,8,0,#funfact_bomb_carriers,53528,8,True,101,0
0,cs_win_panel_round,False,1,8,0,#funfact_blind_kills_singular,59243,9,True,62,0
0,cs_win_panel_round,True,2,9,0,#funfact_defended_bomb,69624,6,False,115,0
0,cs_win_panel_round,False,3,9,0,#funfact_killed_enemies,75079,12,True,58,0
0,cs_win_panel_round,False,0,9,0,#funfact_t_win_no_casualties,82055,0,True,82,0
0,cs_win_panel_round,True,1,12,0,#funfact_blind_kills_singular,91144,9,False,115,0
0,cs_win_panel_round,True,2,12,0,#funfact_kills_headshots,100233,3,False,115,0
0,cs_win_panel_round,False,60,8,0,#funfact_killed_half_of_enemies,106910,5,True,77,0
0,cs_win_panel_round,False,1,8,0,#funfact_knife_kills_singular,111677,11,True,47,0
0,cs_win_panel_round,False,47,9,0,#funfact_best_terrorist_accuracy,118169,13,True,74,18
0,cs_win_panel_round,False,156,8,0,#funfact_damage_with_grenade,124559,13,True,64,0
0,cs_win_panel_round,False,1,7,0,#funfact_blind_kills_singular,130515,5,True,66,0
0,cs_win_panel_round,False,36,9,0,#funfact_ct_accuracy,137903,0,True,88,0
0,cs_win_panel_round,False,2,9,0,#funfact_donated_weapons,142521,9,True,45,0
0,cs_win_panel_round,False,1,8,0,#funfact_taser_kill_singular,149142,3,True,76,0
0,cs_win_panel_round,False,4,8,0,#funfact_grenades_thrown,158047,4,True,112,0
0,cs_win_panel_round,False,4,8,0,#funfact_kill_wounded_enemies,164919,6,True,80,0
0,cs_win_panel_round,False,3,7,0,#funfact_rounds_without_dying,171383,13,True,73,0
0,cs_win_panel_round,False,67,8,0,#funfact_best_accuracy,178761,4,True,88,0
0,cs_win_panel_round,False,60,1,0,#funfact_killed_half_of_enemies,184770,5,True,66,0
0,cs_win_panel_round,False,0,8,0,#funfact_ct_win_no_casualties,187989,0,True,23,0
