round,z,y,entityid,x,tick,event_name
0,514.4990234375,-1322.6881103515625,253,-3958.787353515625,17893,inferno_expire
0,338.03125,-2029.122314453125,245,-1608.2442626953125,18817,inferno_expire
0,482.03125,1074.5986328125,245,-2428.598876953125,19647,inferno_expire
0,483.9354553222656,-1990.5665283203125,101,-3478.309814453125,27542,inferno_expire
0,6.693801403045654,-296.7572021484375,204,-538.570068359375,31455,inferno_expire
0,434.03125,-808.1610717773438,101,-2528.059326171875,32193,inferno_expire
0,386.28125,-298.5010070800781,203,-2288.809814453125,32503,inferno_expire
0,96.03125,-477.35626220703125,166,-906.7297973632812,32651,inferno_expire
0,387.1317138671875,-166.220947265625,101,-2217.78759765625,32761,inferno_expire
0,474.28125,878.2443237304688,101,-2619.140380859375,33999,inferno_expire
0,162.03125,-1069.109375,308,-1889.3013916015625,38700,inferno_expire
0,321.15625,-1241.615478515625,253,-1813.24951171875,39786,inferno_expire
0,6.927361488342285,-241.42662048339844,611,-525.1669921875,47994,inferno_expire
0,96.03125,-497.37890625,399,-918.9920043945312,48178,inferno_expire
0,242.03125,-1250.483154296875,340,-1936.564208984375,49676,inferno_expire
0,98.03125,-498.63372802734375,267,-1015.4170532226562,52064,inferno_expire
0,96.03125,408.875244140625,267,-826.1945190429688,53594,inferno_expire
0,242.03125,-1230.1337890625,369,-1896.2337646484375,56475,inferno_expire
0,13.16763973236084,-263.7631530761719,389,-490.858642578125,56539,inferno_expire
0,8.130884170532227,-249.58070373535156,530,-520.6957397460938,62176,inferno_expire
0,242.03125,-1248.0050048828125,302,-1887.412841796875,62224,inferno_expire
0,6.719418525695801,-568.578125,245,-520.2218627929688,62818,inferno_expire
0,10.659327507019043,-112.89524841308594,204,-425.412353515625,65976,inferno_expire
0,516.7337646484375,-275.6924133300781,227,-3804.461181640625,67502,inferno_expire
0,98.03125,-342.9006652832031,101,-856.70068359375,68806,inferno_expire
0,130.03125,-1014.4420166015625,288,-1878.6246337890625,78855,inferno_expire
0,242.03125,-1243.4068603515625,246,-1852.3472900390625,79713,inferno_expire
0,247.17625427246094,-1265.59521484375,167,-1809.1602783203125,85890,inferno_expire
0,260.03125,-1970.219482421875,270,-1589.2923583984375,87646,inferno_expire
0,472.0566101074219,829.4519653320312,274,-2718.912841796875,90598,inferno_expire
0,434.03125,-166.9791259765625,271,-2673.146484375,90630,inferno_expire
0,170.03125,-1084.646240234375,482,-1881.5223388671875,94231,inferno_expire
0,474.03125,-1978.14599609375,307,-2996.16845703125,94401,inferno_expire
0,98.03125,-1171.9373779296875,272,-1786.599365234375,95415,inferno_expire
0,474.03125,-1930.197998046875,101,-2996.80078125,103164,inferno_expire
0,437.3130187988281,-1536.98046875,204,-2869.136962890625,103480,inferno_expire
0,434.03125,-164.70205688476562,168,-2752.59228515625,104922,inferno_expire
0,434.4910583496094,205.99569702148438,247,-2841.909423828125,105018,inferno_expire
0,7.341536045074463,-33.390228271484375,369,-449.62701416015625,109853,inferno_expire
0,100.01823425292969,-131.65255737304688,136,-1173.293701171875,111115,inferno_expire
0,434.03125,-802.0267333984375,402,-2519.6416015625,116241,inferno_expire
0,474.420166015625,922.0835571289062,272,-2374.965087890625,117663,inferno_expire
0,482.03125,763.4588012695312,270,-1881.250244140625,117963,inferno_expire
0,494.03125,450.2710876464844,272,-2650.548095703125,118357,inferno_expire
0,15.841825485229492,-297.28460693359375,403,-483.85003662109375,128355,inferno_expire
0,474.28125,775.4962158203125,253,-2336.502197265625,128423,inferno_expire
0,355.2699890136719,1292.7149658203125,204,-2096.1123046875,128731,inferno_expire
0,424.11553955078125,-2338.78759765625,611,-1879.4669189453125,133251,inferno_expire
0,98.03125,-550.6961059570312,556,-969.8406982421875,133453,inferno_expire
0,10.170125961303711,-339.6255187988281,227,-513.7249145507812,133657,inferno_expire
0,146.03125,-1046.3712158203125,228,-1884.315673828125,133779,inferno_expire
0,130.03125,54.60495376586914,304,-1887.386962890625,137299,inferno_expire
0,98.03125,-1079.1904296875,477,-1849.2724609375,140843,inferno_expire
0,480.03125,1361.3919677734375,166,-2470.31201171875,148368,inferno_expire
0,482.03125,984.8699951171875,154,-1879.4371337890625,148738,inferno_expire
0,16.031248092651367,-949.388671875,101,-1219.5701904296875,151725,inferno_expire
0,98.03125,-991.5813598632812,274,-1847.329833984375,152303,inferno_expire
0,3.549621105194092,-159.50999450683594,259,-513.1830444335938,152475,inferno_expire
0,482.03125,468.50048828125,309,-2515.2861328125,156583,inferno_expire
0,423.603271484375,-2324.32421875,267,-1874.8568115234375,160701,inferno_expire
0,16.03125,-991.5658569335938,101,-1145.5728759765625,160821,inferno_expire
0,98.03125,-1124.1373291015625,385,-1725.342529296875,161053,inferno_expire
0,16.03125,-991.3356323242188,101,-1175.30517578125,167739,inferno_expire
0,16.03125,-1049.85009765625,161,-1223.91357421875,174275,inferno_expire
0,434.03125,-243.2434539794922,173,-2598.02099609375,175429,inferno_expire
0,98.03125,-453.7876281738281,281,-917.0424194335938,176917,inferno_expire
0,16.03125,-1034.518310546875,385,-1229.182373046875,181572,inferno_expire
0,130.03125,137.58094787597656,371,-2131.79052734375,183254,inferno_expire
0,16.76444435119629,-296.29620361328125,621,-477.8565979003906,187381,inferno_expire
