defindex,player_steamid,item,tick,silent,player_name,event_name,match_id
7,0,ak47,4,True,Wesley,item_pickup,c3ddd683
42,0,knife,4,True,Wesley,item_pickup,c3ddd683
7,0,ak47,4,True,Wesley,item_pickup,c3ddd683
42,0,knife,4,True,Wesley,item_pickup,c3ddd683
59,0,knife,33,False,Wesley,item_pickup,c3ddd683
4,0,glock,33,False,Wesley,item_pickup,c3ddd683
42,0,knife,33,False,Wesley,item_pickup,c3ddd683
32,0,hkp2000,33,False,Wesley,item_pickup,c3ddd683
13,0,galilar,37,False,Wesley,item_pickup,c3ddd683
42,0,knife,37,False,Wesley,item_pickup,c3ddd683
13,0,galilar,37,False,Wesley,item_pickup,c3ddd683
42,0,knife,37,False,Wesley,item_pickup,c3ddd683
42,76561198421514418,knife,491,True,rodrigaoobrabo,item_pickup,c3ddd683
61,76561198421514418,hkp2000,491,True,rodrigaoobrabo,item_pickup,c3ddd683
59,76561198026214582,knife,627,True,Connan,item_pickup,c3ddd683
4,76561198026214582,glock,627,True,Connan,item_pickup,c3ddd683
60,76561198421514418,m4a1,631,True,rodrigaoobrabo,item_pickup,c3ddd683
42,76561198421514418,knife,631,True,rodrigaoobrabo,item_pickup,c3ddd683
60,76561198026214582,m4a1,631,True,Connan,item_pickup,c3ddd683
42,76561198026214582,knife,631,True,Connan,item_pickup,c3ddd683
42,76561197996437459,knife,631,True,【﻿ＰＫ】,item_pickup,c3ddd683
61,76561197996437459,hkp2000,631,True,【﻿ＰＫ】,item_pickup,c3ddd683
42,76561198000238678,knife,655,True,Erick,item_pickup,c3ddd683
61,76561198000238678,hkp2000,655,True,Erick,item_pickup,c3ddd683
59,76561198340888446,knife,767,True,MonsTro,item_pickup,c3ddd683
4,76561198340888446,glock,767,True,MonsTro,item_pickup,c3ddd683
1,76561197996437459,deagle,769,True,【﻿ＰＫ】,item_pickup,c3ddd683
42,76561197996437459,knife,769,True,【﻿ＰＫ】,item_pickup,c3ddd683
1,76561198340888446,deagle,769,True,MonsTro,item_pickup,c3ddd683
42,76561198340888446,knife,769,True,MonsTro,item_pickup,c3ddd683
42,76561198100001022,knife,893,True,Luiz,item_pickup,c3ddd683
32,76561198100001022,hkp2000,893,True,Luiz,item_pickup,c3ddd683
520,76561198051880621,knife,1003,True,Cujura,item_pickup,c3ddd683
4,76561198051880621,glock,1003,True,Cujura,item_pickup,c3ddd683
13,76561198000238678,galilar,1009,True,Erick,item_pickup,c3ddd683
42,76561198000238678,knife,1009,True,Erick,item_pickup,c3ddd683
13,76561198051880621,galilar,1009,True,Cujura,item_pickup,c3ddd683
520,76561198051880621,knife,1009,True,Cujura,item_pickup,c3ddd683
59,76561198397576589,knife,1009,True,AVARA KÉRABA,item_pickup,c3ddd683
4,76561198397576589,glock,1009,True,AVARA KÉRABA,item_pickup,c3ddd683
4,76561198100001022,glock,1015,True,Luiz,item_pickup,c3ddd683
42,76561198100001022,knife,1015,True,Luiz,item_pickup,c3ddd683
4,76561198397576589,glock,1015,True,AVARA KÉRABA,item_pickup,c3ddd683
42,76561198397576589,knife,1015,True,AVARA KÉRABA,item_pickup,c3ddd683
42,76561198124241179,knife,1049,True,Talevor,item_pickup,c3ddd683
61,76561198124241179,hkp2000,1049,True,Talevor,item_pickup,c3ddd683
42,76561198421514418,knife,1449,True,rodrigaoobrabo,item_pickup,c3ddd683
61,76561198421514418,hkp2000,1449,True,rodrigaoobrabo,item_pickup,c3ddd683
60,76561198421514418,m4a1,1453,True,rodrigaoobrabo,item_pickup,c3ddd683
42,76561198421514418,knife,1453,True,rodrigaoobrabo,item_pickup,c3ddd683
60,76561198026214582,m4a1,1453,True,Connan,item_pickup,c3ddd683
42,76561198026214582,knife,1453,True,Connan,item_pickup,c3ddd683
59,76561198397576589,knife,1493,True,AVARA KÉRABA,item_pickup,c3ddd683
4,76561198397576589,glock,1493,True,AVARA KÉRABA,item_pickup,c3ddd683
10,76561198100001022,famas,1495,True,Luiz,item_pickup,c3ddd683
42,76561198100001022,knife,1495,True,Luiz,item_pickup,c3ddd683
10,76561198397576589,famas,1495,True,AVARA KÉRABA,item_pickup,c3ddd683
42,76561198397576589,knife,1495,True,AVARA KÉRABA,item_pickup,c3ddd683
520,76561198051880621,knife,1705,True,Cujura,item_pickup,c3ddd683
4,76561198051880621,glock,1705,True,Cujura,item_pickup,c3ddd683
7,76561198000238678,ak47,1711,True,Erick,item_pickup,c3ddd683
42,76561198000238678,knife,1711,True,Erick,item_pickup,c3ddd683
7,76561198051880621,ak47,1711,True,Cujura,item_pickup,c3ddd683
520,76561198051880621,knife,1711,True,Cujura,item_pickup,c3ddd683
42,76561198100001022,knife,1823,True,Luiz,item_pickup,c3ddd683
32,76561198100001022,hkp2000,1823,True,Luiz,item_pickup,c3ddd683
13,76561198100001022,galilar,1825,True,Luiz,item_pickup,c3ddd683
42,76561198100001022,knife,1825,True,Luiz,item_pickup,c3ddd683
13,76561198397576589,galilar,1825,True,AVARA KÉRABA,item_pickup,c3ddd683
42,76561198397576589,knife,1825,True,AVARA KÉRABA,item_pickup,c3ddd683
520,76561198051880621,knife,2023,True,Cujura,item_pickup,c3ddd683
4,76561198051880621,glock,2023,True,Cujura,item_pickup,c3ddd683
4,76561198000238678,glock,2029,True,Erick,item_pickup,c3ddd683
42,76561198000238678,knife,2029,True,Erick,item_pickup,c3ddd683
4,76561198051880621,glock,2029,True,Cujura,item_pickup,c3ddd683
520,76561198051880621,knife,2029,True,Cujura,item_pickup,c3ddd683
42,76561198421514418,knife,2063,True,rodrigaoobrabo,item_pickup,c3ddd683
61,76561198421514418,hkp2000,2063,True,rodrigaoobrabo,item_pickup,c3ddd683
60,76561198421514418,m4a1,2065,True,rodrigaoobrabo,item_pickup,c3ddd683
1,76561198421514418,deagle,2065,True,rodrigaoobrabo,item_pickup,c3ddd683
42,76561198421514418,knife,2065,True,rodrigaoobrabo,item_pickup,c3ddd683
1,76561198026214582,deagle,2065,True,Connan,item_pickup,c3ddd683
42,76561198026214582,knife,2065,True,Connan,item_pickup,c3ddd683
42,76561198100001022,knife,2135,True,Luiz,item_pickup,c3ddd683
32,76561198100001022,hkp2000,2135,True,Luiz,item_pickup,c3ddd683
13,76561198100001022,galilar,2137,True,Luiz,item_pickup,c3ddd683
42,76561198100001022,knife,2137,True,Luiz,item_pickup,c3ddd683
13,76561198397576589,galilar,2137,True,AVARA KÉRABA,item_pickup,c3ddd683
42,76561198397576589,knife,2137,True,AVARA KÉRABA,item_pickup,c3ddd683
59,76561198178993731,knife,2443,True,Siraissi,item_pickup,c3ddd683
4,76561198178993731,glock,2443,True,Siraissi,item_pickup,c3ddd683
10,76561198000238678,famas,2449,True,Erick,item_pickup,c3ddd683
42,76561198000238678,knife,2449,True,Erick,item_pickup,c3ddd683
10,76561198178993731,famas,2449,True,Siraissi,item_pickup,c3ddd683
42,76561198178993731,knife,2449,True,Siraissi,item_pickup,c3ddd683
42,76561197996437459,knife,2471,True,【﻿ＰＫ】,item_pickup,c3ddd683
61,76561197996437459,hkp2000,2471,True,【﻿ＰＫ】,item_pickup,c3ddd683
60,76561197996437459,m4a1,2473,True,【﻿ＰＫ】,item_pickup,c3ddd683
42,76561197996437459,knife,2473,True,【﻿ＰＫ】,item_pickup,c3ddd683
60,76561198340888446,m4a1,2473,True,MonsTro,item_pickup,c3ddd683
42,76561198340888446,knife,2473,True,MonsTro,item_pickup,c3ddd683
42,76561198100001022,knife,2565,True,Luiz,item_pickup,c3ddd683
32,76561198100001022,hkp2000,2565,True,Luiz,item_pickup,c3ddd683
4,76561198100001022,glock,2569,True,Luiz,item_pickup,c3ddd683
42,76561198100001022,knife,2569,True,Luiz,item_pickup,c3ddd683
4,76561198397576589,glock,2569,True,AVARA KÉRABA,item_pickup,c3ddd683
42,76561198397576589,knife,2569,True,AVARA KÉRABA,item_pickup,c3ddd683
520,76561198051880621,knife,2575,True,Cujura,item_pickup,c3ddd683
4,76561198051880621,glock,2575,True,Cujura,item_pickup,c3ddd683
61,76561198124241179,hkp2000,2581,True,Talevor,item_pickup,c3ddd683
42,76561198124241179,knife,2581,True,Talevor,item_pickup,c3ddd683
61,76561198051880621,hkp2000,2581,True,Cujura,item_pickup,c3ddd683
520,76561198051880621,knife,2581,True,Cujura,item_pickup,c3ddd683
42,76561198421514418,knife,2813,True,rodrigaoobrabo,item_pickup,c3ddd683
61,76561198421514418,hkp2000,2813,True,rodrigaoobrabo,item_pickup,c3ddd683
4,76561198421514418,glock,2815,True,rodrigaoobrabo,item_pickup,c3ddd683
42,76561198421514418,knife,2815,True,rodrigaoobrabo,item_pickup,c3ddd683
4,76561198340888446,glock,2815,True,MonsTro,item_pickup,c3ddd683
42,76561198340888446,knife,2815,True,MonsTro,item_pickup,c3ddd683
42,76561197996437459,knife,2869,True,【﻿ＰＫ】,item_pickup,c3ddd683
61,76561197996437459,hkp2000,2869,True,【﻿ＰＫ】,item_pickup,c3ddd683
13,76561197996437459,galilar,2875,True,【﻿ＰＫ】,item_pickup,c3ddd683
42,76561197996437459,knife,2875,True,【﻿ＰＫ】,item_pickup,c3ddd683
13,76561198026214582,galilar,2875,True,Connan,item_pickup,c3ddd683
