player_name,player_steamid,event_name,tick,round
Erick,76561198000238678,player_jump,1139,0
Connan,76561198026214582,player_jump,1307,0
Connan,76561198026214582,player_jump,1807,0
Connan,76561198026214582,player_jump,1901,0
MonsTro,76561198340888446,player_jump,1943,0
Connan,76561198026214582,player_jump,1953,0
MonsTro,76561198340888446,player_jump,1999,0
Connan,76561198026214582,player_jump,2003,0
Connan,76561198026214582,player_jump,2047,0
MonsTro,76561198340888446,player_jump,2171,0
MonsTro,76561198340888446,player_jump,2375,0
Connan,76561198026214582,player_jump,2541,0
Connan,76561198026214582,player_jump,2651,0
Connan,76561198026214582,player_jump,2745,0
Connan,76561198026214582,player_jump,2795,0
Connan,76561198026214582,player_jump,2845,0
Connan,76561198026214582,player_jump,2895,0
Siraissi,76561198178993731,player_jump,2985,0
MonsTro,76561198340888446,player_jump,3115,0
Connan,76561198026214582,player_jump,3197,0
MonsTro,76561198340888446,player_jump,3333,0
MonsTro,76561198340888446,player_jump,3459,0
Siraissi,76561198178993731,player_jump,3661,0
Cujura,76561198051880621,player_jump,3673,0
Siraissi,76561198178993731,player_jump,5599,0
Siraissi,76561198178993731,player_jump,5647,0
MonsTro,76561198340888446,player_jump,5657,0
MonsTro,76561198340888446,player_jump,5681,0
Siraissi,76561198178993731,player_jump,5689,0
Talevor,76561198124241179,player_jump,5729,0
AVARA KÉRABA,76561198397576589,player_jump,5743,0
Erick,76561198000238678,player_jump,5801,0
MonsTro,76561198340888446,player_jump,5931,0
AVARA KÉRABA,76561198397576589,player_jump,6219,0
【﻿ＰＫ】,76561197996437459,player_jump,6467,0
【﻿ＰＫ】,76561197996437459,player_jump,6513,0
【﻿ＰＫ】,76561197996437459,player_jump,6597,0
【﻿ＰＫ】,76561197996437459,player_jump,7603,0
Luiz,76561198100001022,player_jump,7669,0
AVARA KÉRABA,76561198397576589,player_jump,8415,0
Connan,76561198026214582,player_jump,8567,0
Connan,76561198026214582,player_jump,8661,0
AVARA KÉRABA,76561198397576589,player_jump,8663,0
【﻿ＰＫ】,76561197996437459,player_jump,9297,0
Erick,76561198000238678,player_jump,9321,0
Connan,76561198026214582,player_jump,9399,0
【﻿ＰＫ】,76561197996437459,player_jump,10099,0
Siraissi,76561198178993731,player_jump,10915,0
Luiz,76561198100001022,player_jump,11387,0
Luiz,76561198100001022,player_jump,12135,0
Erick,76561198000238678,player_jump,15823,0
Siraissi,76561198178993731,player_jump,15827,0
Erick,76561198000238678,player_jump,15861,0
Talevor,76561198124241179,player_jump,15949,0
